AÑO,7160,7160.1,7177,7195,27042,27070
1965.0,70.7,652.0,248.5,359.6517005702702,180.4,364.948006241667
1966.0,109.5,115.0,100.0,215.015547080967,96.4,207.0166216126409
1967.0,97.5,229.0,695.1,373.2258168955834,294.7,393.5042196574703
1968.0,103.0,116.0,84.5,226.25042238572854,221.6,223.39025254469794
1969.0,51.3,144.0,387.0,262.7917814997693,177.3,271.5342373693661
1970.0,108.1,117.0,128.0,226.26186540248017,141.4,221.09340448403748
1971.0,58.5,110.0,112.5,199.18692624155102,119.2,196.2089176415853
1972.0,69.9,128.0,65.0,137.0,165.4,187.216871433123
1973.0,85.5,252.0,84.0,164.5,227.6,231.82358591852793
1974.0,80.0,212.0,629.0,132.8,231.5,661.6
1975.0,98.0,180.0,160.0,146.0,303.3,241.0
1976.0,70.5,121.0,107.0,100.0,340.0,198.0
1977.0,80.0,110.0,60.5,92.5,173.3,300.0
1978.0,80.5,705.0,102.4,496.4,314.7,251.3
1979.0,66.5,111.0,70.9,105.6,1105.7,200.0
1980.0,279.2,105.0,45.0,95.5,199.1,158.6
1981.0,70.0,638.0,60.0,80.0,242.8,220.4
1982.0,80.0,100.0,64.0,60.0,225.3,141.9
1983.0,382.5,139.0,80.0,80.3,97.6,188.3
1984.0,85.5,103.0,77.0,378.7,92.1,276.4
1985.0,59.0,125.0,83.0,32.0,152.3,147.0
1986.0,417.0,145.0,427.610656715837,418.2939213794589,185.6,282.1
1987.0,249.2,150.0,354.95755820514495,334.4984139070605,150.5,142.6
1988.0,393.0,715.0,466.5,477.5,141.6,103.2
1989.0,70.0,953.0,282.0,100.0,204.8,233.8
1990.0,291.0,170.0,120.0,178.0,275.4,262.0
1991.0,120.5,131.0,105.0,80.0,120.1,133.7
1992.0,135.5,120.0,120.0,104.5,256.5,159.9
1993.0,98.0,148.0,243.5,65.0,343.9,176.4
1994.0,150.0,92.0,71.0,110.0,144.4,168.9
1995.0,180.0,87.0,303.03,93.7,170.3,141.9
1996.0,130.0,133.0,134.0,99.0,250.0,180.4
1997.0,570.0,220.0,507.0316811527762,220.0,150.4,136.5
1998.0,112.5,328.3402551353659,353.03151532392167,60.8,129.5,574.8
1999.0,100.0,325.79876018384385,351.04607138191625,88.0,149.0,135.2
2000.0,554.0,647.6027407858398,663.2961538689228,99.0,294.5,112.3
2001.0,134.0,613.8177280834547,650.2623285172887,428.4,1159.1,167.3
2002.0,101.5,537.8587575239156,572.6100399703944,509.2034826553873,947.7,141.0
2003.0,94.0,579.554949678676,616.5914483551231,546.8526402571657,1123.0,190.0
2004.0,76.5,316.1819440139264,342.28125391923896,303.947865660451,166.0,131.8
2005.0,60.5,423.80446057253187,455.6115802107862,401.38350772615456,611.2,102.6
2006.0,83.0,316.7672927448104,342.56426267082225,305.00597330355674,152.0,146.0
2007.0,209.0,588.4759710095724,619.8496489196222,564.132385195084,883.2,317.0
2008.0,126.0,544.7932902698734,578.60592473107,517.5216497856288,913.5,902.1
2009.0,104.2,479.6544787252971,511.69430910395005,456.06819144331115,717.8,97.2
2010.0,160.3,361.8082621387424,385.56936685801884,352.431973324892,138.2,146.3
2011.0,414.8,529.8,541.4872703666852,521.2584955835042,140.6,123.5
2012.0,100.1,380.3,530.9725466708372,471.01802643647915,987.4,140.0
2013.0,65.1,160.0,124.8,110.7,541.7,133.5
2014.0,74.2,160.0,104.7,119.0,890.2,215.0
2015.0,86.5,282.4,79.1,103.6,813.8,209.1
2016.0,53.7,490.7578237229414,123.9,102.0,876.3,673.8
2017.0,57.7,586.8440546868396,188.9,468.9906154649309,1230.5,1030.7
2018.0,35.6,354.1,530.7,426.90320059402353,889.5,259.2
2019.0,352.1,109.2,129.4,335.4,574.4,660.3
2020.0,125.8,878.1,73.5,510.4987799801819,1000.7,297.7
2021.0,78.9,486.6,550.9816084456183,486.9721053168102,957.6,141.1
2022.0,106.5,630.0745423495704,668.8765451649057,594.2443473503527,1276.8,244.6
2023.0,101.2,583.1753993661129,620.1520975604408,550.8207918702375,1111.2,322.2
2024.0,1049.2488715332543,1039.8972444766036,1047.210174442561,1044.5402030389434,599.8,190.0
